peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
126.74,1.78,V,53,30,8,0,22,17,0,N,0,1,2
81.3,1.63,V,44,70,3,0,0,8,0,N,0,0,0
74.68,1.83,V,41,0,0,0,5,0,0,N,1,1,3
110.82,1.71,M,41,0,11,1,12,5,2,N,0,1,1
82.4,1.76,M,42,0,0,0,2,9,1,N,2,3,3
70.97,1.78,V,42,10,0,0,9,0,0,N,3,3,3
74.4,1.66,V,31,0,0,2,0,6,0,S,0,0,0
63.75,1.73,V,40,0,0,0,0,0,0,N,0,1,1
82.69,1.75,V,60,40,0,5,21,7,0,N,0,1,2
128.16,1.79,V,48,80,21,0,4,0,0,N,1,2,2
84.24,1.61,M,42,0,0,0,24,15,0,S,1,3,4
61.45,1.66,M,51,0,0,2,1,7,0,N,1,3,4
98.1,1.66,V,38,0,12,0,0,6,0,N,1,3,3
112.4,1.84,V,37,0,10,2,0,5,0,N,3,4,4
81.38,1.79,V,42,0,0,5,15,4,0,N,1,2,1
93.88,1.79,V,44,0,0,0,15,11,0,N,0,1,2
46.61,1.55,M,36,120,0,3,0,0,0,N,2,3,4
94.44,1.83,V,40,0,9,0,0,0,0,N,1,4,4
112.9,1.68,M,40,0,23,0,12,0,1,N,1,2,2
61.69,1.69,V,18,0,0,0,0,0,0,N,2,4,4
62.1,1.78,V,43,0,0,5,0,0,0,S,2,2,1
112.44,1.76,M,24,0,7,0,0,8,0,N,2,2,2
88.43,1.7,M,18,0,0,0,3,11,0,N,1,2,1
77.21,1.72,V,33,10,0,0,0,6,0,N,0,1,2
71.95,1.67,V,68,0,1,0,13,5,0,N,0,1,1
57.12,1.63,M,33,0,0,7,3,1,0,N,2,2,2
72.81,1.71,V,44,0,9,2,2,0,5,N,2,4,2
52.08,1.63,M,66,0,0,4,0,0,0,N,0,0,0
68.89,1.67,M,38,120,0,1,11,2,8,N,1,1,1
118.11,1.77,V,34,120,14,3,6,0,1,N,1,2,1
62.17,1.63,V,23,300,1,4,0,0,0,N,1,1,2
76.63,1.62,M,36,0,4,0,1,5,0,N,0,2,2
71.83,1.73,V,18,0,3,0,0,0,2,N,2,3,2
115.6,1.7,M,31,0,8,0,32,22,0,N,1,2,2
60.24,1.67,M,51,0,0,0,0,0,0,N,0,1,0
63.15,1.73,V,47,0,0,0,10,2,0,N,1,4,4
119.51,1.79,V,42,0,13,0,18,3,0,N,3,4,4
56.36,1.65,M,55,30,0,3,0,2,0,N,0,1,3
81.36,1.72,V,54,110,6,1,5,0,0,N,1,0,0
59.08,1.65,M,35,0,0,5,11,3,0,N,2,4,4
63.75,1.71,V,18,0,0,0,0,0,0,N,2,3,3
75.89,1.76,M,31,0,0,1,6,1,0,N,0,1,2
52.63,1.71,V,59,0,0,0,0,2,0,S,2,4,4
123.9,1.76,M,20,0,8,1,16,10,0,N,1,1,0
75.58,1.67,M,45,0,6,5,0,7,0,N,3,4,3
72.18,1.72,V,24,70,0,0,2,0,1,N,1,2,3
82.93,1.62,M,78,0,0,0,17,15,0,N,1,1,2
80.71,1.71,V,42,0,2,0,0,7,0,N,1,2,2
112.9,1.68,V,24,0,20,1,22,5,0,N,1,1,2
72.62,1.64,M,53,80,5,0,4,4,0,N,2,4,3
67.07,1.75,V,36,130,0,6,0,2,0,N,0,2,1
114.24,1.69,V,26,0,16,0,7,2,0,N,1,2,1
61.95,1.76,V,39,80,0,4,0,2,0,N,2,4,2
76.49,1.68,M,41,0,0,0,0,7,2,N,0,1,1
59.86,1.73,V,53,0,0,1,2,3,0,N,1,4,4
84.47,1.74,V,18,0,7,1,0,0,0,N,3,4,4
72.06,1.74,V,27,80,3,4,0,0,0,N,3,4,4
74.86,1.71,M,59,0,0,0,13,4,0,N,1,2,2
60.98,1.7,V,49,0,0,2,0,6,0,N,1,2,3
58.42,1.66,M,19,0,0,4,0,1,0,N,0,2,3
61.99,1.71,M,61,0,0,1,14,0,5,N,1,1,1
78.99,1.76,V,32,40,0,1,19,4,0,N,3,4,4
64.79,1.72,M,21,0,0,1,5,0,0,N,3,4,3
54.33,1.62,M,57,0,2,0,4,0,0,N,2,4,4
56.63,1.65,M,54,0,0,0,0,0,0,N,0,0,1
58.13,1.74,V,61,80,2,7,0,0,0,N,0,2,2
63.23,1.63,M,55,10,3,5,0,1,0,N,0,2,1
106.14,1.78,V,31,120,13,0,0,0,0,N,0,4,4
57.17,1.67,M,18,0,0,6,0,0,0,N,2,3,2
99.2,1.66,M,18,0,0,0,21,14,0,N,0,2,3
112.9,1.68,M,24,0,11,0,20,7,0,N,2,1,1
129.6,1.8,V,34,0,0,1,18,25,0,N,1,0,1
90.6,1.68,M,40,0,0,0,15,10,0,N,1,1,0
67.72,1.8,V,53,0,3,0,0,0,0,N,2,3,3
90.32,1.68,V,53,0,0,0,21,10,0,N,0,1,0
97,1.66,V,41,0,0,1,29,17,0,N,1,3,2
91.9,1.7,V,53,0,10,4,4,0,0,N,0,1,1
115.99,1.79,V,42,140,4,0,23,13,0,N,1,4,3
72.54,1.68,M,46,20,6,3,5,0,0,N,2,4,3
66.79,1.87,V,43,70,0,0,2,0,5,S,2,4,4
89.04,1.84,V,51,0,4,0,6,2,0,N,1,2,1
76.83,1.69,M,35,0,0,4,9,5,0,N,2,2,2
71.67,1.7,M,45,50,0,0,9,9,1,N,2,4,4
92.31,1.66,M,45,0,8,3,8,9,0,N,0,2,2
70.78,1.65,M,32,0,0,2,7,8,0,N,3,4,4
77.74,1.7,M,69,20,5,0,0,3,0,N,1,1,1
76.82,1.76,V,39,0,0,6,13,3,0,N,0,1,2
67.64,1.73,V,49,70,0,2,0,10,0,N,3,4,4
114.31,1.85,V,40,0,11,1,0,1,0,N,1,1,3
78.4,1.75,V,18,0,0,0,12,1,0,N,2,3,4
57.51,1.7,V,49,0,0,3,0,0,0,N,2,2,3
66.97,1.65,M,43,10,0,0,9,5,0,N,1,2,1
116.78,1.76,V,43,70,19,1,0,0,2,N,1,3,3
104.19,1.62,M,52,0,12,2,7,7,0,N,1,1,1
121.1,1.74,V,19,0,17,0,10,4,0,N,2,3,3
116.96,1.71,V,30,0,22,0,0,0,0,N,0,1,2
46.9,1.52,M,51,0,0,1,0,1,0,N,3,2,2
97.34,1.56,M,28,100,22,1,0,7,0,N,2,0,0
100.53,1.69,V,55,0,8,5,6,15,0,N,1,3,2
92,1.76,V,18,0,6,2,4,1,0,N,1,3,2
85.75,1.75,V,40,290,0,0,17,5,0,N,3,4,3
76.42,1.67,M,47,180,0,0,10,9,0,N,2,3,2
71.86,1.76,V,19,0,0,2,0,4,0,N,0,3,3
76.14,1.8,V,48,0,1,2,4,2,0,N,2,1,1
74.13,1.63,M,19,0,0,6,0,14,1,N,1,2,2
106.78,1.78,V,57,0,13,2,0,1,0,N,0,1,2
76.66,1.85,V,45,0,4,2,0,0,0,N,2,4,3
53.87,1.73,V,68,20,0,5,0,7,8,N,1,4,3
70.56,1.68,M,67,0,1,3,5,8,0,N,1,2,2
105.94,1.76,V,38,0,13,0,0,2,3,N,0,3,2
63.39,1.75,V,50,0,0,0,1,0,0,N,1,3,3
72.69,1.65,V,38,100,5,0,0,3,0,N,1,4,4
80.23,1.76,V,66,10,0,1,13,12,0,N,2,2,2
66.65,1.79,M,54,0,3,0,0,0,0,N,4,4,4
127.93,1.83,V,44,0,8,0,12,12,0,N,1,3,3
65.4,1.74,V,23,0,0,3,2,0,0,N,2,2,2
90.93,1.65,M,45,40,9,1,10,9,0,N,1,3,3
101.12,1.59,M,18,80,18,0,20,15,0,N,2,2,2
78.26,1.78,V,58,0,3,3,0,5,0,N,1,2,2
58.59,1.77,V,36,110,0,3,0,0,0,N,0,3,3
63.29,1.7,M,57,0,1,0,5,5,0,N,3,3,3
72.37,1.77,V,69,0,4,0,9,0,1,N,1,2,3
52.61,1.55,M,43,0,0,1,0,1,0,S,0,0,0
122.5,1.75,M,30,50,21,5,8,0,0,N,3,4,4
60.52,1.78,V,56,0,2,4,0,0,0,N,0,3,2
58.64,1.8,V,43,0,0,3,0,0,0,N,1,2,3
69.83,1.75,M,47,0,0,2,0,4,0,N,1,2,1
109.94,1.75,V,20,20,7,0,3,2,0,N,1,0,0
96.37,1.73,V,18,0,10,3,1,1,0,N,2,3,3
87.76,1.78,V,46,0,3,1,8,5,0,N,2,2,4
80.19,1.66,M,49,40,8,2,0,0,0,S,0,3,1
41.04,1.51,M,28,0,0,6,0,0,0,N,1,3,2
109.33,1.75,V,35,0,15,2,0,0,2,N,1,3,3
89.17,1.61,M,42,0,15,3,0,0,0,N,1,2,3
81.71,1.73,V,18,100,0,1,15,5,0,N,2,3,2
115.53,1.73,V,43,0,17,3,0,0,0,N,1,3,2
104.12,1.75,V,21,90,4,0,1,8,0,N,0,1,2
71.22,1.82,V,34,0,0,1,1,1,0,N,1,3,2
115.99,1.79,V,18,70,6,0,11,8,0,N,2,4,3
82.57,1.64,M,26,0,11,5,0,1,0,N,1,3,4
47.82,1.63,M,53,0,0,5,6,0,1,N,1,4,4
75.97,1.69,V,52,0,0,0,8,12,0,N,1,2,2
101.47,1.72,M,48,80,9,1,10,4,0,N,1,3,2
54.84,1.66,M,55,140,0,4,1,0,0,N,0,2,2
116.96,1.71,V,24,180,7,2,21,10,0,N,0,0,0
73.37,1.72,V,27,0,3,4,0,0,1,N,1,3,3
78.64,1.58,M,18,0,7,0,0,2,0,N,1,1,2
68.34,1.66,M,31,0,2,0,2,1,0,N,0,3,2
133.96,1.83,V,76,0,21,1,19,9,0,N,0,3,2
75.32,1.62,M,19,160,0,2,5,9,0,N,1,4,2
56.39,1.77,V,70,0,0,3,0,0,0,N,0,2,3
85.14,1.75,V,19,0,0,0,12,4,1,N,2,3,1
67.55,1.71,V,34,0,4,0,0,0,0,N,3,4,4
118.34,1.72,V,31,0,6,0,29,22,0,N,1,2,3
123.9,1.76,V,30,10,11,3,3,10,0,N,1,1,1
102.85,1.79,V,51,0,12,1,0,2,0,N,0,2,2
58.52,1.62,M,44,0,0,1,10,1,0,N,2,2,3
116.96,1.71,V,22,0,10,0,5,10,0,N,1,1,1
80.81,1.73,V,56,0,3,0,12,6,0,N,1,2,3
83.02,1.76,V,39,0,6,2,0,4,0,N,2,4,3
79.11,1.69,M,48,0,6,5,0,7,0,N,1,2,2
51.41,1.69,V,70,100,0,5,0,0,0,N,2,3,4
68.12,1.74,V,25,0,0,0,0,4,0,N,1,4,4
68.15,1.58,M,42,0,8,0,0,0,0,N,1,1,1
117.17,1.74,V,27,0,12,1,5,6,0,N,0,2,3
119.72,1.73,V,46,0,5,0,30,17,0,N,2,3,3
90.7,1.85,V,38,0,9,3,0,0,0,N,3,4,4
68.89,1.67,M,50,60,0,0,0,6,0,N,0,1,1
116.96,1.71,V,39,0,14,0,15,8,0,N,1,3,2
64.14,1.67,M,33,0,0,0,0,0,0,N,0,2,2
57.54,1.61,M,20,0,0,1,0,0,0,N,1,3,3
86.81,1.78,V,59,0,0,0,27,8,0,N,2,3,4
69.39,1.76,V,66,60,2,0,0,0,0,N,0,1,1
84.67,1.65,M,29,0,10,3,14,2,0,N,3,4,4
84.91,1.78,V,39,0,6,6,0,1,0,N,2,2,0
54.42,1.58,V,50,0,0,0,9,2,0,N,0,2,3
81.84,1.66,M,49,0,5,4,13,5,0,N,0,1,0
55.21,1.61,M,25,0,0,0,0,0,0,N,2,3,3
61.41,1.71,M,30,0,0,4,0,6,4,N,2,3,4
71.59,1.72,V,37,0,4,0,0,3,0,N,2,4,4
75.39,1.58,M,18,0,0,1,3,12,0,N,1,2,1
95.07,1.66,M,53,0,0,3,23,15,0,N,1,0,0
71.38,1.7,M,55,0,0,1,5,4,0,N,1,1,1
114.05,1.8,V,22,0,12,0,0,0,0,N,2,4,3
79.89,1.59,M,80,0,0,0,16,20,0,N,2,1,3
72.97,1.74,V,24,130,0,1,0,4,0,N,0,1,2
64.4,1.79,V,49,0,1,0,2,0,0,N,4,4,2
61.95,1.76,V,50,90,0,1,2,0,0,S,2,2,1
78.7,1.9,V,38,190,3,6,1,6,8,N,1,3,3
53.8,1.62,M,58,0,0,2,3,0,0,N,1,1,2
115.6,1.7,M,22,0,14,0,12,7,0,N,2,3,3
119.72,1.73,V,26,0,16,2,18,1,0,N,2,4,4
67.04,1.77,V,30,0,0,2,3,0,0,N,1,2,1
75.42,1.73,V,18,0,0,2,6,1,0,N,1,1,3
69.53,1.79,V,36,0,0,1,5,4,0,N,2,3,3
90.06,1.71,V,45,130,5,1,11,5,0,N,3,4,4
103.68,1.61,M,54,0,23,2,14,6,0,N,1,1,2
95.37,1.74,V,26,0,0,3,11,14,0,N,1,2,3
68.89,1.66,M,48,0,0,3,0,7,0,N,1,1,1
81.75,1.74,M,39,30,5,0,1,0,0,N,1,2,1
95.48,1.79,V,45,0,9,2,0,2,0,N,2,3,3
67.12,1.54,M,46,0,0,2,19,6,0,S,0,1,1
77.94,1.78,V,18,120,0,0,5,2,0,N,3,4,4
72.56,1.78,V,44,30,0,7,4,6,2,N,2,2,2
68.55,1.63,M,32,20,0,0,20,3,0,N,2,3,3
59.51,1.63,M,41,90,0,2,0,0,0,S,1,1,0
62.09,1.68,M,43,0,0,3,0,6,0,N,2,3,4
89.28,1.66,M,45,140,6,0,13,4,0,N,1,3,2
71.65,1.62,M,24,0,1,0,4,1,0,N,0,1,1
60.71,1.76,M,21,0,0,3,0,0,0,N,2,4,4
111.56,1.67,M,21,30,17,4,9,6,0,N,0,1,1
60.05,1.63,M,53,0,0,2,2,3,0,N,0,0,0
66.3,1.74,V,58,50,0,1,7,2,0,N,0,1,3
113.75,1.78,V,59,0,15,3,14,2,0,N,2,4,4
105.97,1.64,M,57,0,21,0,0,0,0,N,2,4,4
68.33,1.65,M,46,0,0,0,0,9,0,N,1,1,2
102.71,1.8,V,30,70,11,3,0,3,4,N,2,3,4
98.65,1.66,M,53,0,18,4,0,0,0,N,1,3,3
58.96,1.7,M,38,0,0,3,0,0,0,N,2,2,3
84.51,1.62,M,20,0,1,3,17,11,0,N,1,2,2
97.09,1.64,M,26,0,12,0,0,0,0,N,1,1,0
81.95,1.72,V,41,0,0,0,12,2,0,N,0,0,0
62.03,1.77,V,45,0,0,0,6,0,0,N,2,4,4
69.28,1.62,M,39,0,0,0,20,1,0,S,2,3,3
111.56,1.67,M,18,0,5,0,26,16,0,N,1,0,0
129.6,1.8,V,41,270,24,0,14,8,0,N,0,0,0
47.82,1.63,M,48,0,0,9,3,0,0,N,0,0,0
79.93,1.74,V,45,0,1,2,5,7,0,N,1,2,0
57.46,1.73,V,58,0,0,6,0,1,0,N,1,1,1
53.46,1.7,M,44,20,0,2,2,0,0,N,2,4,4
83.59,1.89,V,30,0,0,2,0,4,0,N,0,2,3
114.24,1.69,M,37,0,19,0,13,5,0,N,0,2,4
118.34,1.72,V,35,0,10,1,32,24,0,N,0,0,0
56.12,1.59,M,45,30,0,1,7,0,0,N,3,3,3
74.75,1.6,M,26,0,0,1,0,14,5,N,0,0,1
55.79,1.63,M,43,90,0,3,1,1,0,N,0,1,2
60.31,1.63,M,19,0,0,7,0,0,1,N,0,0,0
64.85,1.77,V,22,0,0,0,0,0,5,N,0,2,2
53.27,1.67,M,52,0,0,0,0,0,0,N,3,4,2
76.13,1.77,V,35,0,0,0,0,0,0,N,1,0,1
53.87,1.73,V,55,0,0,0,0,0,0,N,1,4,2
81.91,1.61,M,25,0,11,7,0,0,1,N,0,2,2
101.12,1.59,M,36,20,24,0,0,0,1,N,0,2,0
46.85,1.55,M,40,0,0,1,0,0,0,S,1,3,3
75.06,1.62,M,34,0,2,2,0,7,0,N,0,0,1
59.66,1.59,M,55,20,0,4,0,8,0,N,1,2,1
93.55,1.76,V,31,0,6,0,4,4,0,N,1,4,4
66.74,1.59,M,33,0,0,0,9,2,0,N,0,1,1
81.4,1.69,M,18,0,4,1,0,0,1,N,1,2,2
72.53,1.63,M,38,80,0,0,18,9,0,N,2,4,4
59.62,1.82,V,67,0,0,6,0,0,0,N,3,4,4
84.91,1.79,V,31,70,4,0,4,0,5,N,2,3,3
69.4,1.58,M,40,40,1,3,12,5,3,N,2,3,1
63.01,1.72,V,47,0,0,4,0,0,0,N,1,1,0
67.24,1.66,M,34,0,1,0,0,3,0,N,1,1,2
111.56,1.67,M,63,0,26,4,3,10,0,N,2,2,1
108.1,1.68,V,66,0,12,3,8,8,0,N,1,0,0
66.7,1.65,M,24,0,0,2,2,0,0,N,0,2,1
51.7,1.69,V,51,50,0,5,0,5,0,N,3,4,4
98.5,1.61,M,41,0,17,0,0,3,0,N,2,4,4
90.46,1.7,M,18,0,8,0,2,0,2,N,0,2,3
68.92,1.88,V,38,0,0,0,0,0,0,N,2,3,4
70.24,1.74,M,54,60,0,5,2,6,0,N,1,0,0
63.45,1.73,V,67,0,0,2,7,3,0,N,1,2,3
67.82,1.74,V,25,10,0,1,5,1,0,N,1,2,4
81.01,1.66,M,49,0,5,3,0,11,0,N,1,3,2
110.89,1.76,V,31,0,13,0,2,0,1,N,1,2,2
64.76,1.66,M,55,0,0,1,0,6,0,N,0,1,1
65.36,1.64,M,50,0,5,0,6,0,0,N,3,3,4
60.83,1.78,V,48,0,0,4,0,0,NA,N,2,2,3
63.87,1.7,V,55,10,0,0,0,0,0,N,2,2,2
68.02,1.68,M,25,0,0,0,0,0,0,N,0,0,0
67.75,1.59,M,69,50,0,2,9,15,0,N,1,3,4
113.06,1.76,V,33,0,0,0,25,13,0,N,2,2,1
95.56,1.72,M,34,50,8,1,0,3,0,N,2,1,0
103.06,1.66,M,57,80,16,0,3,0,0,N,2,2,3
97.92,1.72,V,25,120,10,2,0,2,0,N,0,2,2
112.9,1.68,V,52,70,24,4,0,0,0,N,3,3,3
100.21,1.74,V,18,0,10,1,0,0,0,N,2,3,1
65.61,1.62,M,28,0,0,1,8,0,0,N,2,2,1
90.37,1.64,M,68,0,17,0,0,0,0,N,2,4,4
95.66,1.7,V,22,0,0,1,12,16,NA,N,1,3,2
76.9,1.74,M,27,0,6,5,0,0,0,N,0,1,1
98.3,1.6,M,27,0,8,0,12,8,1,N,2,3,3
59.53,1.7,V,42,40,0,0,0,1,0,N,1,3,3
96.65,1.65,M,46,0,7,0,14,10,0,N,3,4,2
57.16,1.73,M,56,180,1,7,5,0,0,S,1,3,4
61.53,1.72,V,58,0,0,3,0,5,0,N,2,2,2
102.14,1.6,M,25,0,2,1,19,20,0,N,1,1,2
51.97,1.6,M,22,0,0,4,0,0,3,N,1,2,2
66.5,1.81,V,35,0,0,4,0,0,0,N,0,1,1
96.51,1.85,V,29,30,10,6,0,0,2,N,2,4,2
90.54,1.62,M,52,0,14,1,3,2,0,N,4,4,4
74.65,1.76,V,60,40,3,4,3,4,0,N,1,2,2
69.69,1.69,M,47,0,0,0,3,9,0,N,1,2,3
61.56,1.7,M,39,0,0,0,1,0,0,N,1,3,1
90.82,1.69,V,40,0,9,0,6,5,0,N,3,4,3
62.44,1.63,M,56,0,0,4,12,7,0,N,2,3,3
80.24,1.75,V,44,0,7,4,0,0,0,N,1,2,3
45.51,1.59,M,47,0,0,4,0,0,0,N,1,3,2
66.31,1.83,V,35,0,1,0,0,3,0,N,1,3,4
49.89,1.56,M,56,120,0,2,0,0,0,N,0,1,1
75.23,1.66,M,50,0,0,1,17,10,0,N,2,4,4
57.99,1.65,M,52,0,0,0,0,0,0,N,0,1,0
76.26,1.69,M,58,0,0,0,0,11,0,N,1,1,2
67.17,1.68,V,51,20,0,0,9,7,0,N,1,4,4
73.07,1.72,M,48,0,0,4,17,8,0,N,1,4,4
56.36,1.65,M,48,0,0,1,0,0,0,N,2,2,2
80.63,1.7,M,32,0,1,0,17,1,8,N,1,0,0
59.4,1.57,M,51,30,1,1,12,6,0,N,2,4,4
115.6,1.7,V,25,0,13,1,6,7,0,S,2,2,1
93.64,1.53,M,29,0,8,5,16,13,0,N,1,0,0
65.52,1.81,V,56,0,0,2,0,3,0,N,1,2,4
88.41,1.74,V,18,110,5,6,5,4,2,N,1,2,2
63.74,1.6,M,49,0,5,2,0,0,0,N,1,3,3
84.94,1.65,M,22,0,8,4,0,0,0,N,1,1,1
84.22,1.75,V,19,0,0,1,19,8,0,N,2,3,4
106.28,1.63,M,34,0,28,3,0,2,0,N,0,1,0
69.01,1.71,V,33,0,0,0,0,5,0,N,0,1,1
72.41,1.79,V,67,10,2,0,5,1,0,N,1,1,1
70.83,1.69,V,34,0,0,0,3,1,0,N,1,1,1
87.14,1.64,M,35,0,0,2,21,12,1,N,1,2,1
60.4,1.68,M,20,0,2,6,5,0,0,N,2,3,3
101.94,1.64,M,22,50,6,1,13,14,0,N,1,2,2
63.76,1.79,V,47,0,0,0,8,0,0,N,2,3,4
63.28,1.77,V,35,100,0,7,4,0,0,S,0,1,1
92.48,1.73,M,46,0,0,2,2,12,0,N,2,1,1
100.76,1.68,V,31,0,8,0,6,8,0,N,1,2,3
103.68,1.61,M,64,0,17,0,14,13,0,N,1,1,1
63,1.7,V,40,0,1,0,0,0,0,N,2,3,3
110.22,1.66,M,42,0,20,3,0,4,0,N,0,1,0
78.84,1.82,V,50,0,0,0,11,4,0,S,2,4,4
59.91,1.58,M,41,60,0,0,0,0,0,N,1,0,1
63.15,1.73,M,51,0,0,0,0,0,0,N,0,1,2
52.02,1.7,V,73,80,0,4,0,2,0,N,1,1,1
66.83,1.69,V,59,20,1,2,0,4,1,N,2,3,1
96.45,1.66,M,20,0,11,0,5,3,0,N,1,2,4
74.01,1.79,V,31,0,0,2,7,5,3,N,1,4,4
76.38,1.64,M,44,0,8,0,0,2,0,N,1,2,3
94.94,1.75,V,44,0,4,3,4,10,0,N,2,1,0
63.5,1.68,M,59,0,5,0,0,4,4,N,1,3,4
68.88,1.65,M,52,0,0,1,20,7,7,N,1,3,4
99.11,1.69,M,45,0,7,2,13,9,0,N,1,1,1
63.16,1.65,M,46,0,1,1,0,1,0,N,0,0,2
98.5,1.76,V,44,10,3,0,20,5,0,N,0,2,2
115.6,1.7,V,33,0,12,0,11,10,0,N,2,4,2
53.09,1.59,M,51,80,0,1,4,0,0,S,2,4,4
64.43,1.76,V,44,0,0,2,2,0,4,N,1,2,1
85.8,1.76,V,41,60,0,0,20,5,2,N,1,2,3
64.48,1.66,M,38,10,0,4,10,8,0,N,2,4,4
100.43,1.63,M,30,40,13,2,0,4,2,N,2,1,1
116.96,1.71,M,47,30,21,0,8,3,3,N,0,1,0
63.03,1.67,M,18,0,0,6,1,3,0,N,1,3,4
48.77,1.55,M,55,50,0,1,0,3,0,N,0,3,3
69.63,1.6,M,26,20,0,3,5,7,0,N,1,0,0
53.91,1.68,M,52,100,0,4,0,0,5,N,1,1,1
81.21,1.7,M,24,0,0,3,0,12,1,N,1,1,1
59.98,1.69,M,35,0,0,0,0,0,0,N,1,3,3
62.26,1.69,V,75,0,0,0,14,3,0,N,3,4,4
67.98,1.69,M,40,0,0,0,3,2,1,N,1,1,0
116.96,1.71,V,37,0,12,2,0,10,0,N,0,0,0
60.17,1.59,M,55,0,0,0,0,8,0,S,3,4,4
65.6,1.7,M,35,0,0,1,0,0,0,N,2,2,2
85.55,1.79,V,48,0,5,0,4,0,0,N,3,4,3
106.81,1.67,V,18,0,9,0,15,8,3,N,2,3,3
66.38,1.71,M,52,0,3,1,7,4,0,N,1,4,4
107.58,1.64,M,20,0,16,6,0,2,0,N,1,2,2
68.06,1.65,M,21,0,0,3,9,6,0,N,2,3,4
109.82,1.7,M,33,80,11,4,4,9,1,N,1,1,3
76.77,1.65,M,34,0,1,0,0,12,0,N,1,3,2
136.9,1.85,V,18,0,13,3,5,7,0,N,2,2,2
56.73,1.71,V,58,20,0,4,0,0,0,N,2,2,2
73.66,1.72,M,26,0,0,5,10,6,0,N,2,4,4
90.09,1.73,V,34,0,3,4,19,0,0,N,0,0,0
61.15,1.62,M,37,0,0,0,0,0,0,N,0,0,0
68.12,1.74,V,22,0,0,2,0,0,0,N,2,4,3
63.25,1.61,M,25,0,3,0,0,0,0,N,3,4,4
71.28,1.8,V,42,100,0,0,0,0,0,N,0,1,2
107.81,1.65,M,56,0,16,3,5,5,0,N,0,0,1
73.41,1.76,V,46,20,0,0,7,5,0,N,2,3,2
75.06,1.62,M,48,0,4,0,0,3,0,N,0,1,0
82.3,1.8,V,47,0,0,0,11,2,0,N,0,1,1
88.06,1.68,M,36,60,10,6,0,1,0,N,1,2,1
66,1.74,V,47,0,0,7,0,10,0,N,1,3,4
57.67,1.79,V,37,0,0,4,0,0,0,N,3,4,4
53.8,1.62,M,48,0,0,0,0,1,0,N,2,3,2
60.93,1.59,M,38,40,0,7,10,8,0,N,2,4,4
108.34,1.84,V,50,120,6,5,11,2,0,S,0,0,0
74.18,1.74,V,20,0,0,0,0,1,0,N,0,1,0
67.52,1.65,M,52,0,0,0,9,8,5,N,1,1,2
120.89,1.81,V,31,0,4,1,15,20,0,S,2,4,4
102.06,1.8,V,25,0,8,0,0,0,0,N,1,2,2
69.15,1.68,M,31,0,0,0,3,4,0,N,0,1,3
75.73,1.71,V,33,0,0,0,0,7,0,N,3,2,2
53.25,1.72,V,68,0,0,3,0,0,4,N,3,4,3
112.87,1.71,V,41,0,9,2,17,9,0,N,1,2,2
75.31,1.64,M,46,0,0,3,7,10,0,N,0,0,0
68.44,1.78,V,39,0,0,0,3,0,0,N,0,2,2
122.66,1.76,V,27,0,13,1,9,2,0,N,1,1,0
81,1.8,V,41,0,0,0,4,5,0,N,1,2,2
107.58,1.64,M,57,0,11,1,8,11,0,N,0,1,0
78.37,1.67,V,24,80,2,0,14,0,0,N,1,2,2
102.4,1.6,M,62,0,15,4,6,17,0,N,0,1,0
112.9,1.68,M,66,40,18,3,4,2,0,N,0,1,2
94.28,1.8,V,60,170,8,6,0,0,0,N,0,0,0
76.63,1.62,M,31,0,6,3,12,0,0,N,0,2,2
96.1,1.65,V,48,0,11,4,0,7,0,N,2,2,2
82.98,1.68,M,37,0,12,2,0,0,6,N,2,4,4
88.1,1.74,V,44,0,9,4,0,1,0,N,2,2,3
72.89,1.75,V,26,0,4,9,2,4,0,N,2,3,3
59.17,1.72,V,40,0,0,1,0,0,0,S,0,1,1
68.3,1.54,M,52,0,0,0,19,4,0,N,0,0,0
77.46,1.64,M,29,50,7,1,6,0,0,N,2,3,4
79.01,1.73,V,53,0,4,1,1,11,0,N,2,4,4
92.31,1.76,M,36,0,7,2,0,2,0,N,0,0,0
51.93,1.68,M,44,30,0,6,0,3,0,N,0,3,4
85.34,1.67,V,46,0,0,3,16,12,0,N,0,0,0
58.54,1.76,V,49,0,0,0,0,0,0,N,1,3,3
52.82,1.65,M,56,0,0,0,5,0,0,N,4,4,4
83.31,1.65,M,51,0,0,1,24,7,0,N,1,2,1
52.61,1.63,M,51,70,0,4,0,1,0,N,1,2,2
54.27,1.69,V,42,0,2,3,0,0,0,N,4,4,2
102.33,1.85,V,53,50,12,8,0,0,5,N,1,2,2
62.83,1.66,M,41,0,1,1,0,3,0,N,3,4,4
73.16,1.64,V,18,0,2,2,11,1,0,N,2,4,2
122.5,1.75,V,64,0,18,0,8,4,0,N,0,1,2
70.93,1.73,V,36,0,4,3,0,0,0,N,2,3,3
117.45,1.72,V,22,0,19,1,0,0,0,N,2,3,3
75.85,1.64,M,34,0,9,6,1,0,0,N,2,4,2
64.92,1.75,V,60,20,0,1,0,0,0,N,0,1,1
71.33,1.65,M,33,0,0,3,0,10,0,N,3,3,2
63.39,1.75,V,50,0,0,0,2,0,0,N,1,3,2
75.68,1.81,V,19,0,0,0,0,0,0,N,2,2,3
81.77,1.75,V,52,0,0,3,8,9,NA,N,1,2,1
74.77,1.78,V,52,40,2,0,6,0,0,N,1,1,2
